Year,Month,Hour,Electricity Price ($/kWh),Natural Gas Price ($/kWh),Hydrogen Price ($/kWh),Biomass Price ($/kWh),Carbon Credit Cap (tonnes CO2/year),Carbon Credit Price ($/tonne CO2),Renewable Share (%),Grid Carbon Intensity (kg CO2/kWh),Natural Gas Carbon Intensity (kg CO2/kWh),Hydrogen Carbon Intensity (kg CO2/kWh),Biomass Carbon Intensity (kg CO2/kWh),Electricity Volatility,Effective Carbon Credit Cap,Carbon Tax ($/tonne CO2),Electricity Emissions (kg CO2),Natural Gas Emissions (kg CO2),Hydrogen Emissions (kg CO2),Biomass Emissions (kg CO2),Cumulative Inflation
2024,1,11.5,0.20321949808589265,0.06831025292542227,0.16272294507999926,0.0922910740808581,6000.0,78.47076776928957,0.2,0.4666666666666667,0.2,0.12,0.01,0.05,6000.0,0.0,0.09676273132076102,0.013935291596786144,0.01991728847779191,0.0009413689556247528,1.02
2024,2,11.5,0.20438500601244966,0.06808603866576965,0.16364669446040295,0.09241321596828192,6000.0,78.91165229099796,0.2,0.4666666666666667,0.2,0.12,0.01,0.05,6000.0,0.0,0.09728440724299486,0.01388955188781701,0.02003035540195332,0.0009426148028764757,1.02
2024,3,11.5,0.2037141811419468,0.06803878074344762,0.16295500046108677,0.09244423604660722,6000.0,78.64550973325112,0.2,0.4666666666666667,0.2,0.12,0.01,0.05,6000.0,0.0,0.09698295146690665,0.013879911271663315,0.01994569205643702,0.0009429312076753935,1.02
2024,4,11.5,0.17730135131976324,0.05951866842107556,0.1622614474772927,0.09048331767421902,6000.0,78.5887247902968,0.2,0.4666666666666667,0.2,0.11999999999999998,0.01,0.05,6000.0,0.0,0.08439618450849729,0.012141808357899415,0.01986080117122063,0.000922929840277034,1.02
2024,5,11.5,0.17701321353981153,0.05900180155831915,0.16223973547028006,0.09037903612142466,6000.0,78.53851688269593,0.2,0.4666666666666667,0.2,0.12,0.01,0.05,6000.0,0.0,0.0842538848990546,0.012036367517897106,0.01985814362156228,0.0009218661684385316,1.02
2024,6,11.5,0.15861048212656106,0.0535150998860774,0.16218594661401142,0.08890138305253355,6000.0,78.25288059957605,0.2,0.4666666666666667,0.2,0.11999999999999998,0.01,0.05,6000.0,0.0,0.0754841204296883,0.010917080376759791,0.019851559865554997,0.0009067941071358421,1.02
2024,7,11.5,0.15921258250279338,0.053298092341052136,0.16195227025091186,0.08912805819603993,6000.0,78.49007892261854,0.2,0.4666666666666667,0.2,0.12,0.01,0.05,6000.0,0.0,0.07579408044163731,0.010872810837574636,0.01982295787871161,0.0009091061935996073,1.02
2024,8,11.5,0.15869490347750703,0.053177440022731094,0.16209966551054936,0.0890571041517066,6000.0,78.29564288609164,0.2,0.4666666666666667,0.2,0.12,0.01,0.05,6000.0,0.0,0.0755344936280014,0.010848197764637144,0.01984099905849124,0.0009083824623474073,1.02
2024,9,11.5,0.1769088614333866,0.05953748168854349,0.16149137848003273,0.09033797606678191,6000.0,78.46655702481556,0.2,0.4666666666666667,0.2,0.11999999999999998,0.01,0.05,6000.0,0.0,0.08422869601668007,0.012145646264462871,0.019766544725956008,0.0009214473558811757,1.02
2024,10,11.5,0.17936374030207367,0.059096056006886694,0.16172147663323846,0.09014693669439526,6000.0,78.39674806099016,0.2,0.4666666666666667,0.2,0.12,0.01,0.05,6000.0,0.0,0.08535760413001306,0.012055595425404887,0.01979470873990839,0.0009194987542828318,1.02
